time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
5774.950000	7.777890	-96.416840	-1393.800330	158.848490
5824.950000	7.678180	-97.370520	-1392.274450	158.778690
5874.950000	7.698120	-96.607580	-1392.999240	158.788660
5924.950000	7.468770	-96.912750	-1395.516950	158.848490
5974.950000	7.777890	-97.904580	-1394.219950	158.788660
6024.950000	7.728030	-97.828280	-1394.105510	158.908320
6074.950000	7.518630	-96.989050	-1392.427030	158.878410
6124.950000	7.608370	-96.798310	-1392.312590	158.698920
6174.950000	7.528600	-97.866430	-1393.533300	158.728830
6224.950000	7.658230	-98.133460	-1392.884800	158.768720
6274.950000	7.618350	-99.392320	-1395.326220	158.718860
6324.950000	7.628320	-97.408670	-1392.579620	158.728830
6374.950000	7.728030	-97.675700	-1392.846650	158.788660
6424.950000	7.688150	-96.912750	-1392.846650	158.629110
6474.950000	7.658230	-96.760170	-1393.685890	158.778690
6524.950000	7.797840	-97.141640	-1391.702240	158.778690
6574.950000	7.777890	-98.629370	-1391.969270	158.698920
6624.950000	7.658230	-96.111660	-1393.037390	158.798630
6674.950000	7.797840	-99.583050	-1392.503330	158.579260
6724.950000	7.678180	-97.484960	-1393.685890	158.669000
6774.950000	7.708090	-97.027200	-1393.685890	158.768720
6824.950000	7.698120	-98.514930	-1392.274450	158.589230
6874.950000	7.718060	-97.790140	-1392.160000	158.509450
6924.950000	7.688150	-97.332370	-1393.571450	158.649060
6974.950000	7.747980	-98.133460	-1393.151830	158.479540
7024.950000	7.668200	-98.514930	-1392.961090	158.499480
7074.950000	7.688150	-99.773790	-1393.647740	158.688940
7124.950000	7.698120	-97.370520	-1393.075540	158.659030
7174.950000	7.708090	-96.340550	-1393.228120	158.529400
7224.950000	7.548540	-95.768340	-1394.677710	158.599200
7274.950000	7.688150	-97.332370	-1392.121860	158.589230
7324.950000	7.628320	-97.256080	-1394.715860	158.479540
7374.950000	7.747980	-95.692050	-1392.427030	158.399770
7424.950000	7.708090	-98.171610	-1393.571450	158.389790
7474.950000	7.618350	-95.425020	-1392.999240	158.389790
7524.950000	7.698120	-97.027200	-1393.647740	158.429680
7574.950000	7.688150	-96.378690	-1392.961090	158.499480
7624.950000	7.708090	-96.378690	-1393.952920	158.708890
7674.950000	7.698120	-98.400490	-1393.495150	158.389790
7724.950000	7.578460	-95.959080	-1394.258100	158.339940
7774.950000	7.688150	-97.446810	-1393.075540	158.429680
7824.950000	7.618350	-96.569430	-1394.448830	158.329960
7874.950000	7.658230	-96.798310	-1394.334390	158.459600
7924.950000	7.568490	-98.629370	-1392.579620	158.459600
7974.950000	7.538570	-96.989050	-1393.189980	158.150480
8024.950000	7.678180	-97.217930	-1390.863000	158.449620
8074.950000	7.618350	-95.386870	-1392.160000	158.310020
8124.950000	7.797840	-97.675700	-1392.274450	158.290080
8174.950000	7.598400	-97.217930	-1392.274450	158.300050
8224.950000	7.668200	-97.866430	-1392.388890	158.389790
8274.950000	7.688150	-97.027200	-1392.541480	158.459600
8324.950000	7.738010	-97.484960	-1393.266270	158.130530
8374.950000	7.648260	-96.569430	-1392.884800	158.479540
8424.950000	7.608370	-97.065340	-1392.465180	158.329960
8474.950000	7.718060	-96.722020	-1391.358910	158.399770
8524.950000	7.747980	-96.912750	-1395.135480	158.499480
8574.950000	7.658230	-94.623930	-1392.160000	158.529400
8624.950000	7.927470	-94.738370	-1390.863000	158.359880
8674.950000	7.688150	-96.187960	-1392.350740	158.339940
8724.950000	7.668200	-96.264250	-1391.969270	158.549340
8774.950000	7.698120	-94.967250	-1392.541480	158.310020
8824.950000	7.787860	-96.798310	-1391.473360	158.479540
8874.950000	7.767920	-96.073520	-1390.863000	158.200330
8924.950000	7.897550	-97.942730	-1391.206330	158.459600
8974.950000	7.728030	-95.425020	-1392.770360	158.459600
9024.950000	7.937440	-98.057170	-1391.282620	158.389790
9074.950000	7.797840	-95.692050	-1392.236300	158.479540
9124.950000	7.688150	-98.171610	-1391.091880	158.359880
9174.950000	7.777890	-96.416840	-1391.664090	158.369850
9224.950000	7.608370	-97.179780	-1391.320770	158.409740
9274.950000	7.718060	-95.653900	-1392.465180	158.459600
9324.950000	7.907520	-97.790140	-1391.053740	158.310020
9374.950000	7.877610	-94.776520	-1390.252650	158.369850
9424.950000	7.648260	-96.111660	-1390.367090	158.319990
9474.950000	7.658230	-96.378690	-1390.710410	158.369850
9524.950000	7.708090	-96.454990	-1391.282620	158.389790
9574.950000	7.757950	-96.569430	-1391.778530	158.300050
9624.950000	7.638290	-97.027200	-1390.901150	158.369850
9674.950000	7.628320	-96.493140	-1392.274450	158.419710
